,CODDEPTO,DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,27,CHOCÓ,1232.3891947835477,1373.8438894697285,1490.3916574090958,1672.2310820671812,2103.760986967659,2902.509986246909,3652.437652653007,3555.1330592380173,3080.432031956231,3145.1658556659936,3570.631209841738,4221.643444815469,3957.6387726357484,3777.1277515496986,4167.56081874851,4446.415939576553,5068.790577260389,6001.844915416093
13,23,CÓRDOBA,6023.182901513912,6803.0054832472515,8192.763953186093,8202.446657467184,8472.974975756277,9010.53834604455,9757.804504445952,10779.266910289518,11696.56314268667,12912.7227901379,13656.567300133398,14661.594925601574,15792.563628677657,16800.14008514014,18278.6899727221,17843.83239529271,20841.51103106598,24991.953764333113
14,25,CUNDINAMARCA,19546.122756424116,21386.534735801102,24213.561525856458,27379.264923667248,29326.806444094356,31675.6268441774,35465.02448676346,38213.81569803601,40742.22156091668,43758.94166214047,48055.14651495274,53515.877953187504,55731.03975812489,59084.777423068386,63112.19819409349,61042.529240056116,73592.20929514556,91945.94228058861
15,94,GUAINÍA,127.0437609124539,148.43576281548815,150.59457050860286,166.49092948001334,180.3747717961879,196.37101570709555,206.48748544394306,231.7691444491462,257.7399511349478,274.7812779727685,307.30493173785527,331.8144365220878,338.5262951560625,363.5590818212723,389.7612775461636,371.7059258613396,442.7192602389337,497.7040127260969
16,95,GUAVIARE,348.88199447585083,374.7283214788353,420.68794547783295,441.9434474499454,450.3238126802311,471.54174511793144,483.9183264314793,530.2015811528164,571.9966810451875,619.9590040154236,677.3681224213441,717.7479520485845,757.7384542661498,783.3272804229998,832.3920097807767,821.4529436315156,943.2576061546025,1123.8576955166845
17,41,HUILA,6075.571950775916,6576.913084644796,7186.912631313594,8491.332263945998,8587.106501395132,9561.72556736631,11262.865513085691,11689.550685886106,12413.573109667841,13383.483390462263,13805.323974530787,14693.322327379261,15222.315991816256,15989.263313235671,17197.916997849272,16592.433535774697,19837.33140695867,24011.616060873916
18,44,LA GUAJIRA,4199.264618048752,4758.813486056479,4961.205373825723,6488.155323817296,6792.355403510565,6930.999569354496,8080.173994529969,8473.430770908806,8187.840757527259,8360.965732634646,8665.814100215299,9442.274699374408,10784.60889795219,11881.877816786746,11225.06962789734,8672.291000443214,14502.581581720417,22262.575877711395
19,47,MAGDALENA,4323.062244338637,4690.697001360469,5238.777996683525,6100.408204972894,6856.889562188466,7269.826918175172,7761.431790631215,8479.979941204652,9319.121885163246,9549.745068884453,10513.57745023304,11691.731420937815,12422.281853603205,13233.303483567734,14147.657795101226,13830.257514357087,16370.441144261524,19738.4173556026
20,50,META,7952.542024961738,9656.126613333854,10623.2649792904,15252.705843601185,16835.923830592714,23608.04394670394,35741.19513772885,39465.57685181661,42213.62837418853,37363.5321967689,30712.162600333504,26335.37608313578,30238.58628683476,35330.9263489603,38495.85366826669,31354.34513632498,41923.35698535866,58439.50006501544
21,52,NARIÑO,5169.190676011977,5989.033995298471,6516.6617495623705,6915.338705316167,7418.009256595435,7703.606402632075,8552.743333537222,9342.660711884257,10148.914629847774,10991.226702379536,12229.742977637798,13892.975264616009,14061.814833181741,14834.913337482303,15907.400597626256,15682.571008649757,18258.856947941254,21775.426150324623
