,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
38,05,ANTIOQUIA,05040,ANORÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.13,427.8,1533.97,1354.83,1947.99,952.95,973.08,241.07,1015.49,732.44,66.21,138.37,157.03
39,05,ANTIOQUIA,05055,ARGELIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.8,0.0,0.0,0.0,0.0,0.0,21.06,0.0,0.0,0.0,0.0,0.0,0.0
40,05,ANTIOQUIA,05142,CARACOLÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.72,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0
41,05,ANTIOQUIA,05154,CAUCASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.19,0.0,438.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,05,ANTIOQUIA,05209,CONCORDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,05,ANTIOQUIA,05250,EL BAGRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.75,540.04,1461.07,280.44,1063.32,4534.54,1876.33,1716.34,365.22,1753.66,527.74,61.86,395.1,411.2
44,05,ANTIOQUIA,05483,NARIÑO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.15,55.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,05,ANTIOQUIA,05495,NECHÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.23,422.71,1188.25,1817.85,711.87,372.85,95.76,848.51,682.96,86.15,193.36,59.1
46,05,ANTIOQUIA,05585,PUERTO NARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6,365.06,110.93,21.52,123.39,0.0,0.0,0.0,0.0,0.0,0.0
47,05,ANTIOQUIA,05591,PUERTO TRIUNFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,0.0,3.2,306.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,05,ANTIOQUIA,05660,SAN LUIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.86,406.05,106.47,0.0,409.07,0.0,0.0,0.0,0.0,0.0,0.0
49,05,ANTIOQUIA,05736,SEGOVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.48,54.09,246.68,1092.24,790.88,278.12,66.22,326.87,316.26,0.0,177.15,177.63
50,05,ANTIOQUIA,05756,SONSÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.22,242.23,240.16,141.73,89.44,318.65,0.0,0.0,0.0,7.29,0.0,0.0
51,05,ANTIOQUIA,05789,TÁMESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.8,0.0,71.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,05,ANTIOQUIA,05893,YONDÓ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.27,0.0,292.73,0.0,0.0,297.61,190.01,69.71,176.9,6.29,8.56,0.0,0.0
53,05,ANTIOQUIA,05895,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.25,588.75,602.15,1558.06,2010.51,593.54,369.47,218.01,539.91,193.73,0.0,84.77,132.6
54,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.56,0.0,0.0,0.0,158.65,0.0,34.0,0.0,8.78,0.0,0.0
55,13,BOLÍVAR,13042,ARENAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.32,302.35,170.86,0.0,214.23,0.0,56.18,14.16,57.72,0.0,0.0
56,13,BOLÍVAR,13074,BARRANCO DE LOBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.32,0.0,0.0,0.0,0.0,0.0,7.02,0.0,0.0,0.0,0.0
57,13,BOLÍVAR,13160,CANTAGALLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2927.7,0.0,589.13,876.7,1207.09,0.0,214.72,387.38,2533.53,510.92,371.55,337.92,246.02,0.0,136.65
58,13,BOLÍVAR,13268,EL PEÑÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,13,BOLÍVAR,13442,MARÍA LA BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,13,BOLÍVAR,13473,MORALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63,0.0,190.02,96.67,0.0,290.52,64.69,135.68,9.76,113.29,0.0,0.0
61,13,BOLÍVAR,13600,RÍO VIEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.94,219.3,52.71,0.0,398.43,186.24,181.9,63.84,91.92,0.0,32.5
62,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.72,109.75,0.0,0.0,310.2,381.03,379.34,171.82,0.0,30.23,20.39
63,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.38,0.0,0.0,0.0,195.02,0.0,9.29,0.0,0.0,0.0,0.0
64,13,BOLÍVAR,13670,SAN PABLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.6,0.0,1976.16,1840.75,0.0,341.52,1679.58,650.69,1685.76,1018.63,66.42,147.21,591.35,0.0,211.3
65,13,BOLÍVAR,13683,SANTA ROSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.8,517.7,0.0,170.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.5,0.0,46.89,1219.29,1418.23,633.52,1443.26,0.0,1467.28,503.55,502.87,417.41,376.08,78.68,176.73
67,13,BOLÍVAR,13744,SIMITÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3469.3,0.0,528.06,1972.34,1121.79,572.25,1126.88,15.13,402.92,473.4,388.41,30.02,270.84,0.0,144.62
68,15,BOYACÁ,15480,MUZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,15,BOYACÁ,15507,OTANCHE,0.0,0.0,0.0,0.0,0.0,0.0,58.1,0.0,0.0,0.0,0.0,0.0,109.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,15,BOYACÁ,15531,PAUNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,15,BOYACÁ,15572,PUERTO BOYACÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.77,644.72,0.0,165.65,117.19,0.0,0.0,0.0,0.0,0.0,0.0
72,17,CALDAS,17662,SAMANÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.62,1039.29,1006.17,283.66,0.0,113.88,0.0,0.0,0.0,0.0,0.0,0.0
73,17,CALDAS,17867,VICTORIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,39.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,18,CAQUETÁ,18001,FLORENCIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.76,114.12,0.0,68.09,53.41,0.0,454.72,134.42,0.0,0.0,30.0,18.23
75,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,0.0,0.0,0.0,0.0,0.0,0.0,112.2,0.0,865.68,69.05,1509.68,362.73,99.59,0.0,610.77,739.07,1668.06,1097.24,178.23,303.38,475.72,447.25
76,19,CAUCA,19050,ARGELIA,0.0,0.0,0.0,0.0,0.0,0.0,800.0,649.8,0.0,115.19,0.0,247.88,0.0,868.81,439.83,85.33,0.0,0.0,0.0,0.0,0.0,0.0
77,19,CAUCA,19075,BALBOA,0.0,0.0,0.0,0.0,0.0,0.0,188.8,91.3,0.0,527.59,677.7,500.74,0.0,634.24,0.0,141.07,0.0,75.97,0.0,0.0,0.0,0.0
78,19,CAUCA,19100,BOLÍVAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.53,0.0,87.41,95.04,359.95,0.0,17.18,115.12,0.0,0.0,0.0
79,19,CAUCA,19256,EL TAMBO,0.0,0.0,0.0,0.0,0.0,0.0,1481.1,0.0,0.0,104.72,0.0,0.0,0.0,204.61,0.0,28.95,211.62,135.66,695.13,0.0,93.53,35.86
80,19,CAUCA,19397,LA VEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,24.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,19,CAUCA,19450,MERCADERES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.41,75.3,31.8,0.0,196.78,74.18,384.41,0.0,91.72,168.22,0.0,0.0,0.0
82,19,CAUCA,19532,PATÍA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.03,0.0,426.16,0.0,751.3,103.89,299.0,156.01,86.52,52.82,0.0,0.0,0.0
83,19,CAUCA,19693,SAN SEBASTIÁN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,19,CAUCA,19701,SANTA ROSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.17,0.0,70.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,19,CAUCA,19760,SOTARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,23,CÓRDOBA,23068,AYAPEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,23,CÓRDOBA,23417,LORICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,23,CÓRDOBA,23466,MONTELÍBANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.6,0.0,0.0,116.62,1072.11,2955.07,1255.46,320.65,198.72,1046.8,804.13,162.47,82.65,224.54
89,25,CUNDINAMARCA,25148,CAPARRAPÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,25,CUNDINAMARCA,25885,YACOPÍ,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.0,0.0,0.0,0.0,0.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,27,CHOCÓ,27745,SIPÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.22,0.0,0.0,0.0,0.0,0.0,0.0,364.08,199.62,189.34,47.82
92,44,LA GUAJIRA,44001,RIOHACHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,44,LA GUAJIRA,44090,DIBULLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.6,533.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,47,MAGDALENA,47001,SANTA MARTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.64,376.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,47,MAGDALENA,47189,CIÉNAGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,50,META,50001,VILLAVICENCIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,50,META,50287,FUENTE DE ORO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,50,META,50330,MESETAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,50,META,50350,LA MACARENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.07,0.0,0.0,844.5,46.7,0.0,71.16,36.45,75.27,404.12,0.0,859.66,1844.92
100,50,META,50568,PUERTO GAITÁN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.21,0.0,0.0,78.21,598.12,398.12,396.8,84.19,0.0,14.05,0.0,4.43
101,50,META,50680,SAN CARLOS DE GUAROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,52,NARIÑO,52001,PASTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,52,NARIÑO,52079,BARBACOAS,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1955.61,3141.43,7107.93,3259.66,6976.6,6722.22,1671.65,3111.15,5781.91,4376.26,6689.22,5795.41,676.79,1044.94,279.63
