,CODDEPTO,DEPARTAMENTO,CODMPIO,ENTIDAD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,13,BOLÍVAR,13268,EL PEÑÓN,2811.07,3615.35,3757.11,2927.13,3377.75,3527.61,4315.33,4954.53,5699.98,6008.3,6998.83,5043.86,8519.76,9738.21,13957.31,13392.07,10864.7,13668.89,13938.23,14969.39,13433.7,15731.65
17,13,BOLÍVAR,13300,HATILLO DE LOBA,3049.41,0.0,0.0,2993.01,3469.73,4126.26,4109.99,4883.09,6838.58,7350.44,15465.73,7199.79,7790.57,19462.84,19881.17,16011.39,16026.19,17398.38,18728.91,0.0,23017.65,23799.31
18,13,BOLÍVAR,13430,MAGANGUÉ,14091.22,19682.03,28223.01,35450.71,47258.84,54541.34,55751.8,66569.95,68294.36,78844.99,87374.58,96464.2,111113.13,147388.77,170927.38,195064.64,181702.13,208253.28,216266.42,238806.58,251356.49,259369.63
19,13,BOLÍVAR,13433,MAHATES,0.0,4872.38,5968.94,4497.06,4810.79,5413.66,5638.73,7174.15,8270.86,11299.76,10776.81,12395.6,16606.99,17410.54,19433.77,24385.58,22024.64,22431.11,25195.01,30893.03,28829.55,36209.53
20,13,BOLÍVAR,13440,MARGARITA,0.0,2664.18,3683.77,3211.66,4165.4,3285.9,3407.82,5195.67,5085.4,6687.52,8938.5,7518.86,10969.62,9991.22,13435.14,14269.88,16108.38,15622.99,15045.44,15326.06,18053.82,19459.69
21,13,BOLÍVAR,13442,MARÍA LA BAJA,5475.46,5654.62,13431.23,8055.34,9343.76,9182.39,11150.16,0.0,17052.05,17691.4,15559.64,18623.9,27735.36,14413.83,41033.54,35843.73,35564.07,47886.35,52543.61,54528.7,58289.65,71027.91
22,13,BOLÍVAR,13458,MONTECRISTO,1738.64,0.0,0.0,2981.88,3460.95,4525.51,4699.62,2317.58,6331.22,0.0,0.0,9093.88,9099.86,17438.83,15107.43,12873.8,11619.38,14760.82,16256.53,18278.42,19131.39,26387.47
23,13,BOLÍVAR,13468,MOMPÓS,6316.65,8680.7,0.0,7146.49,9054.71,6983.05,8692.65,5949.97,16289.55,19293.04,26819.97,20550.08,26466.18,30193.17,37617.77,38265.84,39411.07,48961.28,49915.11,49275.01,57440.82,60180.34
24,13,BOLÍVAR,13473,MORALES,4856.08,5593.42,0.0,6499.36,5456.37,6975.77,6469.87,7376.41,8052.13,10700.0,12441.7,5859.74,12976.31,24488.62,17724.04,19980.95,17173.93,25428.73,20995.45,27759.99,25689.85,38187.07
25,13,BOLÍVAR,13490,NOROSÍ,,,,,,,,,1850.09,8829.49,5264.15,5865.07,5759.43,8980.71,6219.01,6999.37,9171.76,8840.09,9272.24,9548.65,12539.66,16392.52
26,13,BOLÍVAR,13549,PINILLOS,0.0,5935.05,7824.24,6026.38,7581.05,8197.14,9488.41,8463.56,10016.69,12077.88,11505.79,12574.66,15476.97,18196.48,22134.25,30603.15,29535.71,28559.53,27290.12,30294.86,36539.69,34577.16
27,13,BOLÍVAR,13580,REGIDOR,2602.32,2686.23,2920.52,3013.36,3133.49,2449.94,0.0,2747.85,4886.12,5045.47,5304.17,4230.12,5582.34,6977.98,8631.58,9953.31,11710.72,9296.94,8850.52,10451.75,10610.53,23423.47
28,13,BOLÍVAR,13600,RÍO VIEJO,3880.69,6032.57,7174.15,7145.18,6022.66,7595.2,7962.38,8302.32,9621.72,7542.01,7644.15,8531.36,12605.18,13100.25,9034.39,20895.28,15827.63,22631.3,13575.74,27855.18,22216.18,17255.69
29,13,BOLÍVAR,13620,SAN CRISTÓBAL,1481.19,0.0,1714.29,1790.65,2588.5,3004.49,2095.37,2244.9,0.0,3885.68,4112.8,,4986.96,7077.26,11774.92,8313.33,11719.84,9792.42,14078.28,11749.97,13243.94,13598.13
30,13,BOLÍVAR,13647,SAN ESTANISLAO,3025.58,3673.88,3716.42,3136.06,4247.52,4403.86,4888.75,3826.23,5343.85,0.0,6989.35,7049.1,13682.8,11874.5,15334.39,19431.16,19717.65,21899.97,18752.29,19404.97,23191.75,24889.45
31,13,BOLÍVAR,13650,SAN FERNANDO,2417.9,0.0,3588.04,2288.07,2978.76,4094.03,3807.15,2901.49,4532.48,7887.61,7150.08,4843.84,8776.44,12118.09,13909.1,12946.0,18711.82,16906.94,13781.11,17109.25,18192.47,25355.99
32,13,BOLÍVAR,13654,SAN JACINTO,0.0,5351.12,9521.09,0.0,5905.03,5095.83,4420.56,5172.28,9815.46,13660.44,14190.06,14801.3,10991.86,20951.13,25652.19,22146.05,33188.04,37221.96,31761.5,33916.31,37952.87,42895.25
33,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,0.0,1911.07,0.0,4038.63,3764.79,3738.57,4435.67,3955.85,7485.54,7993.42,7749.26,8545.98,9102.51,11904.21,0.0,11824.91,12761.74,15645.34,14700.75,17485.18,20983.9,21981.18
34,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,6964.04,8376.51,8585.47,8830.93,7879.45,8823.9,9284.49,12222.08,11309.4,13513.2,12597.16,15134.92,22942.04,30850.2,38620.49,39231.13,40691.25,37136.03,39528.62,42984.91,49803.87,51424.69
35,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,3907.01,3739.68,4644.65,3410.51,0.0,5646.51,5725.93,6572.01,6678.62,8641.06,8593.73,9283.81,11041.4,18021.87,20563.08,24136.78,20054.77,18364.99,20275.51,21642.07,24962.93,25615.76
36,13,BOLÍVAR,13670,SAN PABLO,6079.71,9320.2,7619.33,6937.88,7782.52,8601.45,9258.63,10915.99,12277.92,14057.12,14328.2,16480.59,17778.23,22301.53,24138.68,31971.44,22545.21,26856.41,27535.77,32086.74,32880.6,37193.65
37,13,BOLÍVAR,13673,SANTA CATALINA,0.0,2440.54,0.0,3601.2,4252.49,4726.14,3247.63,5031.35,5538.04,5294.88,5486.02,5499.43,11963.69,1750.38,4907.61,13778.0,17801.18,19016.49,15442.17,18024.5,18058.47,24926.94
38,13,BOLÍVAR,13683,SANTA ROSA,2976.15,3710.62,4851.99,3641.75,5061.95,4999.49,5541.17,8884.42,8540.65,9425.54,9682.07,11132.86,13683.37,16736.4,17977.67,17728.49,19878.63,24554.45,24822.61,27743.04,29398.45,37390.47
39,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,8021.3,8976.47,11867.69,8500.41,10499.66,11490.87,10423.53,11378.72,11599.89,12469.99,16610.19,11263.78,19878.27,28837.57,32242.02,37387.63,27762.33,32492.93,34039.09,42933.52,40045.06,75759.18
40,13,BOLÍVAR,13744,SIMITÍ,5726.95,5101.19,6598.88,6104.18,8004.18,8159.66,6374.46,6866.79,9096.82,12334.35,11581.51,6742.22,5156.21,18497.31,27311.88,19589.44,23645.32,25711.89,25259.42,30710.15,25745.28,42332.47
41,13,BOLÍVAR,13760,SOPLAVIENTO,1581.9,1807.08,1927.9,1874.16,2124.5,2598.41,2493.89,2598.41,3597.75,0.0,6135.45,,5180.98,9354.94,8385.97,14092.28,9832.3,9922.42,11141.62,12461.68,12243.78,14509.67
42,13,BOLÍVAR,13780,TALAIGUA NUEVO,4326.34,4654.17,5524.84,4922.54,4668.12,5879.23,5693.86,4980.6,7253.47,10443.43,9009.82,9590.41,12821.45,16952.44,17498.2,13406.33,24167.68,19206.13,14888.95,18629.0,19102.56,20630.59
43,13,BOLÍVAR,13810,TIQUISIO,0.0,3710.99,0.0,4813.1,4636.38,6199.94,5652.59,5583.89,8737.52,10573.12,9995.68,12179.87,14393.42,18339.11,27351.09,20555.14,15143.8,25929.44,23207.56,26372.0,28599.54,32042.49
44,13,BOLÍVAR,13836,TURBACO,7920.07,0.0,15266.97,12929.82,11449.1,12707.25,14121.92,0.0,20826.73,26124.28,27429.08,23657.71,32653.03,45897.95,53811.33,56885.36,59513.53,73150.62,76253.98,100309.98,94901.22,104968.22
45,13,BOLÍVAR,13838,TURBANÁ,2758.5,3812.04,3745.48,3259.4,3893.57,4121.64,5215.59,5173.89,6305.11,9361.34,6333.31,6517.45,11765.46,16667.41,13171.59,14532.39,23962.88,21536.44,16243.42,19177.56,22536.36,24945.18
46,13,BOLÍVAR,13873,VILLANUEVA,2698.53,2561.03,5422.8,4658.99,4536.89,4841.36,5199.06,5480.77,7212.29,9051.2,9339.67,10624.22,13671.14,18392.6,20829.5,19853.16,27310.88,24069.45,22943.71,27227.42,26400.89,26140.72
47,13,BOLÍVAR,13894,ZAMBRANO,4144.89,3213.44,4311.64,3708.62,3356.53,3701.05,2599.91,3244.49,5743.38,6640.26,7328.81,7099.21,10035.29,18968.4,12258.41,13111.24,13826.62,70706.99,18303.24,20230.24,20108.72,21986.2
48,15,BOYACÁ,15000,BOYACÁ,2618.39,2422.53,3476.29,4021.03,4479.69,4817.52,5441.25,6124.07,7015.82,7787.93,7850.3,8669.37,9027.32,11886.63,13704.35,15405.88,13896.47,15155.52,1366572.38,1298595.5,1184279.78,1237034.13
49,15,BOYACÁ,15001,TUNJA,20603.22,21156.42,25030.84,61116.15,74219.83,79799.71,88836.18,88779.51,110064.06,116038.35,124730.35,128728.08,151215.12,175393.93,217002.64,187965.11,206573.15,223699.65,249112.67,271244.34,285054.81,339969.38
50,15,BOYACÁ,15022,ALMEIDA,1648.05,1393.51,2633.59,2277.21,2378.41,2658.96,2495.95,3086.99,2902.36,3072.95,2958.43,3528.79,3458.73,4623.14,6425.64,6673.76,4862.58,5261.24,7135.84,5856.61,5655.96,9007.68
51,15,BOYACÁ,15047,AQUITANIA,3925.1,4011.63,4641.49,3976.71,4538.82,5218.07,6514.85,7945.68,8269.8,9839.44,11484.88,10062.31,12052.6,14151.74,16830.84,19753.1,19257.96,24948.62,22147.36,27494.31,24659.68,25799.86
52,15,BOYACÁ,15051,ARCABUCO,1906.74,3093.86,3491.38,2768.15,2569.51,2561.78,3137.68,3881.92,3543.29,4309.22,4112.62,4101.04,4947.57,8453.98,11748.66,10722.07,8019.93,10126.55,7761.68,9187.71,9266.87,9392.61
53,15,BOYACÁ,15087,BELÉN,2050.42,2347.01,3431.08,3163.21,3111.72,3843.98,3301.68,3760.77,3915.55,5379.65,7051.96,6629.93,5826.72,8305.29,11092.53,11252.41,8907.97,9554.01,9604.37,11303.73,11014.5,12460.82
54,15,BOYACÁ,15090,BERBEO,1652.25,1126.73,1946.71,1708.37,2657.93,2150.47,4123.35,2536.74,2643.85,2777.19,2702.14,2607.86,2789.91,3709.39,5655.98,6843.42,4280.42,4312.28,4390.01,5060.75,5288.29,5307.28
55,15,BOYACÁ,15092,BETÉITIVA,1205.8,1183.78,1583.4,2027.69,1912.71,2207.2,2468.54,2940.77,3352.62,3805.01,3537.56,4174.81,4270.25,5403.7,6178.68,5521.5,5151.54,6278.31,6664.8,7101.92,5886.85,10227.82
56,15,BOYACÁ,15097,BOAVITA,1841.7,2174.52,3076.36,2820.8,2670.71,2318.07,3444.73,3835.98,4546.49,5040.23,4628.71,5544.49,6003.59,8948.86,12050.21,13010.49,10671.05,7029.97,10177.88,13131.6,10608.13,11606.44
57,15,BOYACÁ,15104,BOYACÁ,2057.23,2478.24,4766.21,2757.98,4045.43,2432.38,3711.89,2839.51,3573.47,4216.13,4279.8,5065.47,5715.65,7550.67,9441.01,10094.72,8470.36,10293.81,10297.6,10716.59,11180.63,13099.53
58,15,BOYACÁ,15106,BRICEÑO,1350.43,1405.49,1892.85,1855.26,1896.05,2452.36,2794.59,3009.96,2966.43,3035.42,2884.69,2499.78,3232.67,4315.81,6410.52,6608.1,4320.03,5297.14,5604.4,9893.56,6734.51,6162.08
59,15,BOYACÁ,15109,BUENAVISTA,1349.32,1778.58,3590.25,2641.91,3673.69,2915.39,3301.4,3610.37,4173.37,5194.85,4213.85,5350.09,5399.33,6952.38,7717.03,9845.52,7060.04,8822.64,6929.41,9411.19,9286.02,11166.17
60,15,BOYACÁ,15114,BUSBANZÁ,567.39,1057.55,1578.29,1191.73,2617.04,1505.36,1395.46,1507.98,2137.25,2745.82,2844.76,2696.48,3623.72,4252.85,4120.38,6388.68,4731.14,4788.19,5592.7,8055.16,6570.72,5847.8
61,15,BOYACÁ,15131,CALDAS,2545.69,1348.43,2095.3,2082.59,2324.64,1840.94,2625.43,2566.35,3061.92,2882.2,3050.05,4381.44,3990.35,5166.47,6619.26,9336.32,5032.98,7385.02,6976.66,7333.31,8128.6,8278.31
62,15,BOYACÁ,15135,CAMPOHERMOSO,2597.8,1948.01,2831.69,2689.71,3108.13,3349.67,2766.47,3571.16,3603.54,4277.01,5614.91,6265.72,8016.25,8060.07,8787.42,11348.08,8735.4,9075.79,8990.83,10346.4,9399.85,12329.23
63,15,BOYACÁ,15162,CERINZA,1100.64,1129.63,1861.89,1673.05,1609.04,1683.48,2020.58,2752.32,2630.59,2235.09,2549.91,2143.98,2993.75,7135.57,5123.35,7021.66,5567.66,4218.38,4561.43,5710.94,6426.33,6668.51
64,15,BOYACÁ,15172,CHINAVITA,1186.26,1307.22,1353.78,1808.5,1733.06,2262.75,2454.55,2945.38,3226.0,3626.04,3297.53,3222.72,3834.05,6099.16,6266.39,8131.44,7298.85,6727.58,6473.33,7516.37,6485.25,6777.66
65,15,BOYACÁ,15176,CHIQUINQUIRÁ,7608.5,6662.17,11076.26,9633.23,9265.06,12549.44,13313.64,17488.27,22990.42,21542.48,27069.05,25597.53,29409.07,38828.96,40427.6,50041.64,41888.93,53896.43,54062.68,70611.91,57509.25,75407.41
66,15,BOYACÁ,15180,CHISCAS,1597.41,1824.42,1359.11,3186.59,2006.59,3041.42,3444.02,3571.15,3982.79,5476.3,4767.73,4276.68,5357.17,6562.65,7601.49,11734.91,11275.24,11718.57,8720.65,9583.92,9079.28,12030.72
67,15,BOYACÁ,15183,CHITA,2635.12,3306.56,3346.36,3633.72,3869.65,3831.25,4554.25,4962.47,6577.17,6849.31,6643.07,7255.53,8859.24,11115.21,13002.9,18834.67,16424.77,15552.35,17133.22,22061.54,18438.69,19555.9
68,15,BOYACÁ,15185,CHITARAQUE,2902.08,1838.45,1984.2,2070.87,2861.88,3098.6,2940.23,5939.56,4109.79,4584.59,6303.03,7329.64,5533.63,9341.97,16919.22,14839.34,8509.7,9379.59,10041.82,9917.21,13629.99,10541.57
69,15,BOYACÁ,15187,CHIVATÁ,1552.62,1238.41,1970.64,2117.93,2196.28,1703.66,1788.45,2026.73,2708.98,3082.77,2922.44,4604.59,5029.32,6474.71,10773.8,7004.96,6390.47,7963.07,7729.86,9318.65,8374.56,9394.31
70,15,BOYACÁ,15189,CIÉNEGA,1491.74,1540.82,2481.7,2087.54,1978.44,2271.8,2273.92,2681.38,3046.51,4050.49,3431.2,5094.59,4579.25,6124.03,7717.81,9059.48,7925.78,7763.48,7378.17,7824.6,8719.65,8476.5
71,15,BOYACÁ,15204,CÓMBITA,1739.77,2742.39,3513.12,3899.64,3769.46,4325.55,4428.15,4953.34,5327.27,6341.33,6890.84,7042.29,8263.67,11655.35,13089.28,15010.31,11914.3,15986.28,14205.19,19901.08,29220.23,18026.57
72,15,BOYACÁ,15212,COPER,1486.81,1415.76,2711.8,2635.72,3124.9,3021.91,3901.12,3945.55,3716.93,4305.9,3727.54,3235.66,4342.76,5256.13,7869.68,7829.13,8947.56,7209.68,7275.04,8870.29,8219.22,10452.89
73,15,BOYACÁ,15215,CORRALES,978.42,1216.1,1595.6,1498.65,2044.48,2717.74,2560.01,2138.86,2312.27,2259.08,3182.94,3228.13,3286.16,3712.01,5602.37,7816.41,5697.92,4559.85,5168.04,6806.73,4695.86,11064.36
74,15,BOYACÁ,15218,COVARACHÍA,1083.09,1345.77,1946.97,2042.45,2076.47,2357.1,2515.37,3290.38,3685.85,3994.81,3752.1,4511.47,4933.65,5913.75,7718.74,9162.78,8429.24,8216.78,9528.58,9644.48,8818.47,10257.98
75,15,BOYACÁ,15223,CUBARÁ,2462.69,3266.18,4238.85,3772.77,3180.86,3634.61,4557.87,4051.81,5130.25,5838.18,5302.47,8729.31,8389.44,7730.64,15065.11,15086.55,12426.39,11890.52,11337.29,15649.56,16327.16,21266.52
76,15,BOYACÁ,15224,CUCAITA,1193.14,1322.66,1855.75,2750.01,2095.7,2498.89,2702.06,3685.79,3258.9,3472.4,3301.23,3455.57,4032.62,6310.13,8982.67,8392.85,6008.91,7002.28,8488.31,9076.76,9476.07,9333.95
77,15,BOYACÁ,15226,CUÍTIVA,975.55,1883.83,1025.44,1691.56,1420.39,1264.99,1355.77,2124.61,2179.54,3998.73,2974.42,2559.58,3260.16,4810.1,4921.93,5854.64,4814.83,5659.01,5219.01,5508.03,6774.44,6994.96
78,15,BOYACÁ,15232,CHÍQUIZA,1550.5,1619.78,1453.9,2653.94,2508.38,2593.96,2635.59,3463.34,3669.67,4393.48,4518.46,5946.17,5465.08,7536.06,7113.21,8969.48,8144.61,9287.75,9094.57,10835.25,10210.47,11239.66
79,15,BOYACÁ,15236,CHIVOR,2248.0,2586.4,3872.75,3356.52,2556.73,2825.56,2780.2,3004.8,3844.96,3334.91,3215.54,3216.39,3827.66,6781.73,6930.07,5704.23,5705.03,5507.4,7224.98,9970.55,9912.7,7325.34
80,15,BOYACÁ,15238,DUITAMA,12082.0,0.0,18744.19,36470.09,47672.42,52445.21,53460.47,59170.61,65493.51,69329.75,82934.54,85283.26,103309.57,103207.94,110920.0,121514.59,124028.82,137137.77,147721.3,180676.69,169391.41,181585.05
81,15,BOYACÁ,15244,EL COCUY,3043.28,1987.75,2943.64,2619.48,3456.93,3542.53,3311.07,3698.32,4075.49,4234.83,4858.47,5223.23,4866.5,6568.43,10781.53,8261.04,7934.89,8483.24,8919.56,13693.51,10241.87,12682.26
82,15,BOYACÁ,15248,EL ESPINO,1114.36,1236.26,1695.01,1870.21,1660.36,3697.93,2837.7,2734.12,3024.58,3227.01,3092.89,4148.26,3809.58,5715.69,6018.22,8795.74,6071.32,8126.34,7705.94,8347.75,8514.83,8834.73
83,15,BOYACÁ,15272,FIRAVITOBA,981.15,1529.04,1647.67,1751.71,2388.1,2326.6,2887.44,2642.71,3170.11,3483.78,3047.3,4541.99,4285.46,5890.58,6110.87,9739.59,7217.34,6730.25,8319.38,8539.02,12689.14,9959.68
84,15,BOYACÁ,15276,FLORESTA,1471.16,1106.3,1941.32,2190.05,1868.95,2549.37,2068.38,2626.9,3667.14,3647.83,3630.09,2942.89,3862.98,5792.14,5859.0,5768.13,8867.18,7543.2,8021.91,10222.44,7969.52,9496.09
85,15,BOYACÁ,15293,GACHANTIVÁ,2646.14,1739.09,1957.45,2130.47,2130.17,2212.8,2656.53,2619.85,3087.06,3229.12,3667.3,4688.27,4647.04,5712.47,8948.92,7802.23,7362.97,9887.8,9955.3,11703.08,8187.88,9001.05
86,15,BOYACÁ,15296,GÁMEZA,1355.46,1506.11,2224.45,3089.86,2397.66,2913.77,2536.3,2991.82,3365.41,3798.92,3857.15,4046.67,4267.3,6384.39,8296.22,7890.99,6369.62,7419.14,7994.89,9866.47,9180.66,10184.71
87,15,BOYACÁ,15299,GARAGOA,2614.92,3674.51,4369.77,4018.78,6580.48,4323.38,5743.39,7065.58,6479.62,9342.42,9281.99,7311.23,9510.06,14267.31,15246.87,19542.32,17621.94,18165.09,21901.22,20965.16,22999.83,27670.87
88,15,BOYACÁ,15317,GUACAMAYAS,1065.73,1245.99,1786.27,1453.53,1721.92,1692.43,1842.16,1932.72,2537.47,2787.82,3076.14,3311.39,3485.52,6322.09,4976.5,6166.25,5684.14,6599.93,5551.09,7489.57,6924.75,8561.25
89,15,BOYACÁ,15322,GUATEQUE,2116.78,2830.81,3614.61,4035.61,4233.02,3642.35,4268.62,4881.98,5469.74,7676.36,5858.0,5935.0,7258.63,9689.19,13870.44,16769.17,10009.08,13685.28,17297.74,15484.88,19531.94,15946.22
90,15,BOYACÁ,15325,GUAYATÁ,1729.12,1671.87,2179.7,2744.41,2282.46,2679.88,2466.82,3077.89,4321.6,4269.16,3712.2,5209.45,5128.2,7359.55,9522.13,8976.27,6161.26,9126.52,9507.31,10346.45,10003.54,12169.4
91,15,BOYACÁ,15332,GÜICÁN,1791.19,1814.57,2676.43,2976.21,2650.6,1633.25,2992.17,3189.23,4256.2,4515.01,6672.31,5770.02,5124.7,6284.36,7510.06,12638.71,9358.5,9394.85,9376.04,12093.1,11180.55,13018.84
92,15,BOYACÁ,15362,IZA,1487.24,973.65,1345.04,2508.43,481.94,1461.87,1546.18,2029.02,2462.81,2103.83,2290.92,2800.5,3140.85,3481.54,4067.44,3886.19,4361.36,3643.19,3817.95,4430.07,4634.96,4742.01
93,15,BOYACÁ,15367,JENESANO,7276.99,2796.63,1316.36,3665.34,2107.18,3896.92,4076.81,3993.39,4239.19,5283.7,5090.63,8469.58,9733.21,10377.99,11173.37,16149.79,14340.9,14510.01,15062.34,19100.53,18080.12,18174.55
94,15,BOYACÁ,15368,JERICÓ,2048.38,2069.89,2963.05,2745.3,2410.8,2452.78,2802.38,3759.57,4142.82,4945.1,4558.04,6488.21,6499.57,8051.37,7118.08,11395.48,7935.76,10543.12,8775.01,9525.38,9562.97,11103.71
95,15,BOYACÁ,15377,LABRANZAGRANDE,2366.16,0.0,2804.36,2087.14,2406.82,2387.8,3016.95,5161.72,4179.27,4408.93,4302.48,5404.18,5383.0,6234.98,7822.96,10863.99,10942.76,10282.99,9401.87,15609.56,13440.42,11276.48
96,15,BOYACÁ,15380,LA CAPILLA,954.53,1186.63,1262.81,1862.44,1350.07,2387.38,1975.39,2438.17,2294.42,2973.59,2762.97,3465.0,3291.94,5232.65,4119.52,6035.98,5010.0,4874.67,4936.52,7196.75,5183.42,6852.39
97,15,BOYACÁ,15401,LA VICTORIA,906.63,1243.2,1456.71,1709.0,1865.47,2728.98,3472.09,3796.18,3233.07,3232.61,3112.36,2509.89,3084.48,3014.01,5732.89,6895.2,3404.22,3884.21,3799.1,6077.3,4431.91,6898.14
98,15,BOYACÁ,15403,LA UVITA,1654.35,1993.49,2822.84,2092.86,2059.19,2249.9,2630.49,2481.28,2872.08,3168.38,3151.55,3124.67,4135.96,8538.53,8144.04,7107.31,5790.67,7041.72,7727.88,8213.0,8019.09,8716.79
99,15,BOYACÁ,15407,VILLA DE LEYVA,3548.63,4819.57,3281.28,4014.31,4195.97,3994.65,4518.23,6012.22,6060.43,7665.13,8937.5,13547.52,11669.67,18431.84,19331.4,19774.48,17420.55,23440.07,25922.42,27176.86,27243.89,30332.7
100,15,BOYACÁ,15425,MACANAL,2777.42,2907.8,4258.3,3463.86,4062.97,4195.21,5598.59,4907.48,5494.36,5724.3,6116.51,7088.99,7004.06,7648.13,15830.7,15870.6,13954.85,12236.79,13174.27,15901.46,12738.15,16928.56
101,15,BOYACÁ,15442,MARIPÍ,0.0,2448.27,4661.77,4773.45,3886.4,4239.85,4776.71,5382.34,5259.92,6051.11,5167.11,5114.34,6505.33,9613.15,9432.78,11686.02,11026.92,11642.64,10321.93,14008.68,12488.76,11861.26
102,15,BOYACÁ,15455,MIRAFLORES,5454.29,3101.89,5932.82,3941.64,5257.99,4622.66,4598.56,5473.58,5326.68,6964.36,8308.72,10251.23,8558.74,12707.61,12675.71,16869.03,12407.85,14897.21,15503.04,19685.79,18227.65,20568.06
