,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
115,2014,52,NARIÑO,397640,75.23,75.22,89.87,2.91,96.98,0.11,1.6
116,2014,54,NORTE DE SANTANDER,313966,87.2,87.15,98.77,3.3,96.07,0.62,1.64
117,2014,63,QUINDIO,110359,83.93,83.9,97.59,3.68,93.02,3.29,1.41
118,2014,66,RISARALDA,185754,88.18,88.02,103.53,3.67,93.08,3.25,1.66
119,2014,68,SANTANDER,413227,93.63,93.52,105.95,2.82,95.45,1.73,1.76
120,2014,70,SUCRE,201098,96.88,96.82,113.29,5.83,85.08,9.08,1.2
121,2014,73,TOLIMA,313709,86.36,86.3,96.32,4.16,90.31,5.53,0.92
122,2014,76,VALLE DEL CAUCA,880625,85.52,85.34,98.4,2.16,95.6,2.24,0.82
123,2014,81,ARAUCA,74948,71.55,71.51,81.48,5.59,94.4,0.01,2.04
124,2014,85,CASANARE,86899,103.26,103.24,117.09,2.27,92.87,4.86,1.19
125,2014,86,PUTUMAYO,92368,77.72,77.71,90.13,4.33,94.59,1.08,1.04
126,2014,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15395,68.17,68.13,73.86,1.22,98.74,0.03,3.72
127,2014,91,AMAZONAS,22167,82.13,82.11,95.65,3.04,96.93,0.03,3.9
128,2014,94,GUAINÍA,11916,73.67,73.67,90.09,4.88,81.94,13.17,4.64
129,2014,95,GUAVIARE,31344,56.23,56.23,67.66,2.57,97.17,0.26,1.42
130,2014,97,VAUPÉS,12699,62.82,62.82,74.25,7.86,90.0,2.14,3.2
131,2014,99,VICHADA,21331,74.52,74.51,84.1,5.09,88.75,6.16,1.1
132,2015,05,ANTIOQUIA,1262800,89.92,89.79,103.14,3.82,89.34,6.84,2.83
133,2015,08,ATLÁNTICO,520783,86.17,85.92,93.38,1.39,95.19,3.42,1.69
134,2015,11,"BOGOTÁ, D.C.",1455309,82.2,81.77,88.45,3.63,96.29,0.09,9.91
135,2015,13,BOLÍVAR,488886,88.78,88.69,100.18,3.01,91.5,5.49,1.83
136,2015,15,BOYACÁ,284611,83.62,83.57,93.37,2.22,93.27,4.51,2.27
137,2015,17,CALDAS,194108,78.9,78.86,90.19,3.67,88.13,8.2,2.18
138,2015,18,CAQUETÁ,124382,73.14,73.12,85.42,4.87,91.65,3.48,1.26
139,2015,19,CAUCA,312453,82.21,82.21,99.04,2.17,91.64,6.19,1.23
140,2015,20,CESAR,260802,95.52,95.39,109.85,4.38,90.48,5.14,1.08
141,2015,23,CÓRDOBA,409982,89.54,89.5,103.33,2.26,94.51,3.23,1.79
142,2015,25,CUNDINAMARCA,576429,90.72,90.47,100.22,3.27,93.2,3.52,2.14
143,2015,27,CHOCÓ,145625,80.48,80.48,100.91,4.78,88.35,6.87,0.29
144,2015,41,HUILA,269323,87.64,87.58,99.18,5.17,87.04,7.79,1.09
145,2015,44,LA GUAJIRA,258207,74.12,74.08,86.61,2.29,95.83,1.88,1.42
146,2015,47,MAGDALENA,330539,93.61,93.43,108.08,3.54,93.68,2.78,1.07
147,2015,50,META,217437,92.19,92.14,103.88,3.3,92.08,4.62,1.1
148,2015,52,NARIÑO,396138,73.53,73.51,88.26,1.23,96.42,2.35,1.35
149,2015,54,NORTE DE SANTANDER,310611,85.89,85.84,99.27,2.66,95.75,1.59,1.31
150,2015,63,QUINDIO,109400,81.93,81.86,94.03,5.9,88.09,6.01,1.38
151,2015,66,RISARALDA,183900,88.12,87.94,102.5,5.05,89.03,5.92,1.52
152,2015,68,SANTANDER,407815,94.5,94.37,105.97,3.17,91.93,4.9,1.62
153,2015,70,SUCRE,200001,95.8,95.74,112.16,2.65,87.04,10.31,0.61
154,2015,73,TOLIMA,310206,85.48,85.41,96.32,3.71,89.08,7.22,0.58
155,2015,76,VALLE DEL CAUCA,875476,84.44,84.26,96.74,2.78,91.04,6.18,0.92
156,2015,81,ARAUCA,75107,72.88,72.84,82.95,3.51,96.29,0.2,2.27
157,2015,85,CASANARE,87417,102.43,102.39,115.06,3.75,88.89,7.36,1.21
158,2015,86,PUTUMAYO,91874,76.71,76.7,88.74,5.26,89.23,5.51,0.85
159,2015,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15265,67.34,67.3,72.67,0.63,95.92,3.44,2.16
160,2015,91,AMAZONAS,22212,81.49,81.46,95.76,4.76,89.23,6.01,1.65
161,2015,94,GUAINÍA,11913,75.3,75.3,93.44,7.64,75.4,16.96,2.12
162,2015,95,GUAVIARE,31553,54.91,54.9,65.9,4.7,87.99,7.31,1.21
163,2015,97,VAUPÉS,12684,64.08,64.08,76.58,8.08,78.38,13.54,3.49
164,2015,99,VICHADA,21644,76.82,76.81,87.09,9.23,76.94,13.82,0.88
165,2016,05,ANTIOQUIA,1265147,88.2,88.08,101.72,4.47,88.4,7.13,3.02
166,2016,08,ATLÁNTICO,519509,89.7,89.35,98.02,2.13,94.42,3.44,1.23
167,2016,11,"BOGOTÁ, D.C.",1453283,80.7,80.26,87.29,2.08,97.55,0.37,3.73
