,Unnamed: 0,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Categoría
14,14,5,ANTIOQUIA,5736,SEGOVIA,0.0,0.0,0.0,0.0,0.0,11.0,32.0,96.0,162.06,502.98,112.0,519.72,163.84,0.0,0.0,17.0,8.8,11.0,72.7875,8.0,97.9379,34.4427,657.4535,288.397,304.817,142.252,Territorio con erradiacion constante
15,15,5,ANTIOQUIA,5756,SONSÓN,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5,32.1,7.0,273.3,11.66,186.27,134.58,7.551,13.5,17.327,16.345,0.4,0.0,0.0,9.4416,0.7997,0.0,0.0,Territorio con erradicacion intermitente
16,16,5,ANTIOQUIA,5790,TARAZÁ,122.0,8.0,69.37,2.0,541.0,81.0,19.61,597.8,1709.96,967.81,4932.56,325.19,1528.99,371.29,362.04,457.778,173.941,185.28,6.1,5320.6383,7158.2503,8557.3837,2399.1513,848.8051,273.52,9.137,Territorio con erradiacion constante
17,17,5,ANTIOQUIA,5837,TURBO,16.0,0.0,18.0,18.0,6.0,0.0,17.83,8.51,82.7,6.26,28.98,3.0,5.0,8.5,13.0,63.8,44.0,238.402,125.049,31.13,5.5804,6.1594,544.1659,121.8495,23.0008,0.0,Territorio con erradicacion intermitente
18,18,5,ANTIOQUIA,5854,VALDIVIA,0.0,0.0,1.25,0.0,0.0,0.0,184.0,1043.43,5.28,618.3,2230.92,1125.78,213.42,174.2,106.38,323.592,24.4972,80.131,34.68,164.209,1917.7826,71.2625,458.1244,127.6176,127.8692,0.0,Territorio con erradicacion intermitente
19,19,5,ANTIOQUIA,5858,VEGACHÍ,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,13.5,79.7,400.08,80.62,0.0,0.0,8.908,0.0,5.512,4.873,165.06,24.9882,17.63,48.6908,83.7625,61.001,128.113,Territorio con erradicacion intermitente
20,20,5,ANTIOQUIA,5893,YONDÓ,0.0,0.0,0.0,15.0,36.0,50.0,2.0,31.0,67.6,170.36,626.51,368.66,0.0,8.0,28.56,35.9,0.0,0.0,5.391,110.9903,49.1129,4.471,0.0,0.0,0.0,0.0,Territorio con erradicacion intermitente
21,21,5,ANTIOQUIA,5895,ZARAGOZA,0.0,0.0,0.0,20.0,53.0,15.0,8.0,10.0,33.0,401.37,1488.29,355.77,0.0,0.0,0.0,12.0,7.0,8.0,18.997,20.861,77.1338,3375.1821,1599.9816,1194.0585,953.3147,251.6582,Territorio con erradiacion constante
22,22,8,ATLÁNTICO,8573,PUERTO COLOMBIA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Territorio sin intervenir en los últimos 5 años
23,23,13,BOLÍVAR,13006,ACHÍ,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,116.12,0.0,2.0,0.0,0.0,0.0,197.9,16.7,12.0,0.0,3.3702,9.9702,0.0,0.0,0.0,0.0,Territorio con erradicacion intermitente
