,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
70,19,CAUCA,19290,FLORENCIA,0.0,0.0,0.0,0.0,0.0,770.0,250.0,150.0,750.0,0.0,3925.0,1250.0,4362.5,0.0,0.0,0.0,0.0,405.0,0.0,0.047,0.0,114.0,0.0,0.0,0.0,0.0
71,19,CAUCA,19318,GUAPI,0.0,0.0,0.0,0.0,0.0,1625.0,5701.005,9600.0,7260.0,25750.0,8330.0,520.0,1025.0,97.0,549.0,482.3125,219.0,120.0,0.0,0.0,300.0,5480.0,6424.0,1153.0,4640.0,485.0
72,19,CAUCA,19355,INZÁ,188.0,0.0,62.5,0.0,0.0,487.5,0.0,0.0,0.0,0.0,0.0,0.0,385.0,6316.0,3044.0,0.0,655.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,19,CAUCA,19392,LA SIERRA,0.0,0.0,0.0,0.0,0.0,168.0,0.0,131.0,250.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,19,CAUCA,19397,LA VEGA,0.0,0.0,0.0,0.0,87.0,0.0,0.0,7125.0,0.0,360.0,0.0,0.25,985.0,0.0,0.0,5254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,300.0,0.0
75,19,CAUCA,19450,MERCADERES,625.0,0.0,0.0,557.5,0.0,2519.0,125.0,2961.05,750.0,1170.0,27391.0,61617.5,16840.0,6250.0,1780.0,2000.0,2037.069,7119.0,2590.0,0.0,2000.0,0.0,750.0,0.0,0.0,3067.5
76,19,CAUCA,19455,MIRANDA,50.0,1000.0,15.0,0.0,0.0,0.0,35.0,6250.0,375.0,0.0,0.0,200.0,100.0,1010.162,1425.0,0.0,14500.0,0.0,0.0,185.0,120.0,0.0,2.123,0.0,11300.0,2250.0
77,19,CAUCA,19517,PÁEZ ,0.0,0.0,0.0,0.0,87.0,6475.0,0.0,750.0,0.0,1430.0,6610.0,0.0,5628.0,28008.0,18185.0,6425.0,2128.0,14915.0,5989.938,750.0,0.0,0.0,0.0,0.0,0.0,0.0
78,19,CAUCA,19532,PATÍA  ,88.0,0.0,0.0,0.0,165.0,36249.0,1797.0,6662.0,11426.0,337.0,304.2,137.5415,5934.0,50.0,0.0,0.0,1125.0,201.0,3057.0,500.0,3002.0,10625.3,0.0,0.0,950.0,0.0
79,19,CAUCA,19533,PIAMONTE,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1000.0,1558.0,18176.0,876.0,225.0,825.0,512.0,0.0,0.0,4811.0,8152.395,2915.0,11090.318,2615.0,7447.45,8230.0,6610.11,17407.0,2200.0
80,19,CAUCA,19622,ROSAS,0.0,0.0,0.0,0.0,0.0,437.0,375.0,0.0,0.0,0.0,1.0,1500.0,70.0,4450.0,1000.0,1055.0,0.0,1351.796,880.0,13500.0,50.0,854.0,1550.0,0.0,0.0,0.0
