,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Categoría
29,5,ANTIOQUIA,5483,NARIÑO,0.0,0.0,2.0,8.0,1.0,94.0,32.0,17.0,61.0,29.0,66.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
30,5,ANTIOQUIA,5495,NECHÍ,15.67,57.0,125.0,195.0,365.0,335.0,1085.0,328.0,235.0,119.0,210.0,173.0,28.0,39.0,128.35,360.85,551.52,708.03,530.37,551.1,365.53,277.93,Cultivo permanente
31,5,ANTIOQUIA,5490,NECOCLÍ,0.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
32,5,ANTIOQUIA,5579,PUERTO BERRÍO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
33,5,ANTIOQUIA,5585,PUERTO NARE,0.0,0.0,0.0,7.0,2.0,35.0,44.0,45.0,2.0,17.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
34,5,ANTIOQUIA,5591,PUERTO TRIUNFO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
35,5,ANTIOQUIA,5604,REMEDIOS,443.32,534.0,331.0,193.0,202.0,265.0,142.0,154.0,121.0,85.0,86.0,29.0,3.0,5.0,3.99,10.38,24.67,45.37,39.33,38.88,129.44,118.94,Cultivo permanente
36,5,ANTIOQUIA,5628,SABANALARGA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
37,5,ANTIOQUIA,5649,SAN CARLOS,1.0,0.0,0.0,0.0,0.0,38.0,23.0,17.0,45.0,13.0,44.0,48.0,3.0,3.0,1.44,1.76,0.0,0.0,0.0,0.0,1.18,1.39,Cultivo intermintente
38,5,ANTIOQUIA,5652,SAN FRANCISCO,22.85,0.0,17.0,0.0,27.0,137.0,79.0,235.0,71.0,139.0,129.0,47.0,31.0,23.0,29.46,15.52,13.99,28.75,14.11,13.75,30.62,48.47,Cultivo permanente
39,5,ANTIOQUIA,5660,SAN LUIS,13.02,0.0,18.0,0.0,83.0,197.0,102.0,271.0,182.0,37.0,114.0,21.0,11.0,12.0,8.33,8.23,4.57,8.91,1.66,2.1,9.12,23.01,Cultivo permanente
40,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.28,4.56,3.48,2.66,1.07,0.0,0.0,0.0,Cultivo intermintente
41,5,ANTIOQUIA,5667,SAN RAFAEL,9.15,0.0,0.0,0.0,0.0,2.0,0.0,8.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
42,5,ANTIOQUIA,5670,SAN ROQUE,92.01,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
43,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
44,5,ANTIOQUIA,5736,SEGOVIA,211.64,355.0,58.0,152.0,403.0,604.0,436.0,307.0,305.0,316.0,202.0,98.0,19.0,38.0,58.14,143.85,191.93,306.59,198.3,200.11,226.86,262.68,Cultivo permanente
45,5,ANTIOQUIA,5756,SONSÓN,1.0,0.0,55.0,25.0,41.0,84.0,25.0,70.0,16.0,45.0,44.0,10.0,10.0,3.0,2.7,2.32,0.0,0.0,0.0,0.0,2.56,3.94,Cultivo intermintente
46,5,ANTIOQUIA,5790,TARAZÁ,684.18,337.0,537.0,1163.0,1402.0,1105.0,1663.0,931.0,773.0,986.0,635.0,495.0,338.0,842.0,884.61,2797.31,3803.68,3728.41,2061.72,2465.65,3531.32,3244.89,Cultivo permanente
47,5,ANTIOQUIA,5819,TOLEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,Cultivo emergente
48,5,ANTIOQUIA,5837,TURBO,0.0,0.0,151.0,21.0,0.0,0.0,0.0,8.0,26.0,12.0,0.0,17.0,35.0,18.0,45.44,97.99,61.01,56.84,54.52,46.07,43.04,84.55,Cultivo permanente
49,5,ANTIOQUIA,5842,URAMITA,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
50,5,ANTIOQUIA,5847,URRAO,0.0,0.0,0.0,14.0,0.0,1.0,3.0,0.0,0.0,22.0,32.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
51,5,ANTIOQUIA,5854,VALDIVIA,124.2,50.0,157.0,431.0,467.0,426.0,1027.0,409.0,422.0,134.0,199.0,76.0,32.0,298.0,189.59,1620.8,2899.35,2623.54,2360.05,2833.73,4105.39,4516.57,Cultivo permanente
52,5,ANTIOQUIA,5858,VEGACHÍ,66.41,74.0,75.0,49.0,38.0,25.0,58.0,22.0,20.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,36.45,42.29,31.55,27.4,108.57,78.59,Cultivo intermintente
53,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,Cultivo intermintente
54,5,ANTIOQUIA,5885,YALÍ,89.81,47.0,46.0,27.0,22.0,0.0,53.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,12.37,17.66,52.31,58.28,31.0,40.38,77.69,45.02,Cultivo intermintente
55,5,ANTIOQUIA,5887,YARUMAL,2.0,2.0,0.0,68.0,6.0,17.0,8.0,0.0,9.0,2.0,3.0,0.0,1.0,13.0,3.16,40.04,93.9,87.63,70.97,79.69,113.81,125.13,Cultivo permanente
56,5,ANTIOQUIA,5890,YOLOMBÓ,71.94,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.44,4.73,13.34,23.41,1.43,3.92,9.92,16.24,Cultivo intermintente
57,5,ANTIOQUIA,5893,YONDÓ ,0.74,59.0,85.0,86.0,88.0,13.0,31.0,239.0,153.0,0.0,69.0,8.0,0.0,3.0,3.08,0.0,4.58,6.5,14.67,8.72,10.68,17.86,Cultivo intermintente
58,5,ANTIOQUIA,5895,ZARAGOZA,281.81,399.0,505.0,416.0,600.0,400.0,1611.0,495.0,240.0,384.0,49.0,252.0,12.0,24.0,66.82,160.9,346.92,471.23,346.37,686.02,807.18,682.48,Cultivo permanente
59,81,ARAUCA,81065,ARAUQUITA,1325.09,1647.0,293.84,939.0,1165.0,775.0,1090.0,205.0,200.0,123.0,42.0,58.0,44.0,16.0,9.12,6.34,116.63,7.44,0.0,0.0,0.0,0.0,Cultivo intermintente
